"State_code","Confirmed","Recovered","Deaths","Active"
"MH",1814515,1676564,46986,89905
"KA",882608,846082,11750,24757
"AP",867063,848511,6981,11571
"TN",779046,756279,11694,11073
"UP",539899,506938,7718,25243
"KL",593958,526797,2197,64846
"DL",561742,516166,8998,36578
"WB",477446,444587,8322,24537
"OR",317789,310549,1783,5457
"TG",268418,256330,1451,10637
"BR",234553,227714,1253,5585
"RJ",262805,231780,2274,28751
"AS",212483,208187,980,3313
"CT",234725,210917,2830,20978
"HR",230713,208422,2375,19916
"GJ",206714,188069,3953,14692
"MP",203231,185013,3237,14981
"PB",150805,138206,4765,7834
"JH",108786,105669,963,2154
"JK",109383,102591,1680,5112
